Getting list of Win32_PNPEntity devices failed. Error: 0x80041003
S24MAME crkdown-fdc-write cpu=:maincpu time=7.354143100 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.354147100 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.354158100 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.354162100 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.354169300 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.501659500 pc=001822 addr=b00006 data=4b4b mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.501663700 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.501667700 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.501678700 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.501682700 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.501689100 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.649179300 pc=001822 addr=b00006 data=4b4b mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.649183500 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.649187500 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.649198500 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.649202500 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.649209700 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.796699900 pc=001822 addr=b00006 data=4c4c mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.796704100 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.796708100 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.796719100 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.796723100 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.796729500 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.938039700 pc=000eec addr=b00004 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.938051100 pc=000f12 addr=b00000 data=d0d0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.938055100 pc=000f20 addr=b00006 data=c0c0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.938056700 pc=000f26 addr=b00000 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.938060700 pc=000f34 addr=b00006 data=8a8a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.938062300 pc=000f3a addr=b00000 data=fdfd mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.944303300 pc=001822 addr=b00006 data=4c4c mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.944307500 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.944311500 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.944322500 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.944326500 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.944333700 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.091823900 pc=001822 addr=b00006 data=4d4d mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.091828100 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.091832100 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.091843100 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.091847100 pc=001648 addr=b00006 data=0707 mask=00ff
